DATE,aus_unemployment rate,usa_unemployment rate
01-02-1978,6.6450138,6.3
01-03-1978,6.3030952,6.3
01-04-1978,6.267907,6.1
01-05-1978,6.2102219,6
01-06-1978,6.303332,5.9
01-07-1978,6.2238827,6.2
01-08-1978,6.4908479,5.9
01-09-1978,6.2523625,6
01-10-1978,6.1639958,5.8
01-11-1978,6.332171,5.9
01-12-1978,6.4063579,6
01-01-1979,6.371309,5.9
01-02-1979,6.2573011,5.9
01-03-1979,6.3033141,5.8
01-04-1979,6.4987918,5.8
01-05-1979,6.204355,5.6
01-06-1979,6.2512253,5.7
01-07-1979,6.2749707,5.7
01-08-1979,6.1186839,6
01-09-1979,6.2338794,5.9
01-10-1979,6.3846505,6
01-11-1979,6.0458276,5.9
01-12-1979,6.1210992,6
01-01-1980,6.1469473,6.3
01-02-1980,5.9987377,6.3
01-03-1980,5.9368042,6.3
01-04-1980,6.1153521,6.9
01-05-1980,6.2464868,7.5
01-06-1980,6.3226893,7.6
01-07-1980,6.0787466,7.8
01-08-1980,6.1775226,7.7
01-09-1980,6.1419731,7.5
01-10-1980,6.0558719,7.5
01-11-1980,5.8510427,7.5
01-12-1980,6.0519354,7.2
01-01-1981,5.9169602,7.5
01-02-1981,5.6165642,7.4
01-03-1981,5.7462755,7.4
01-04-1981,5.555204,7.2
01-05-1981,5.5892368,7.5
01-06-1981,5.3737254,7.5
01-07-1981,5.829769,7.2
01-08-1981,5.8465058,7.4
01-09-1981,5.8126895,7.6
01-10-1981,5.8730067,7.9
01-11-1981,5.9957804,8.3
01-12-1981,6.0277405,8.5
01-01-1982,5.9830331,8.6
01-02-1982,6.3085045,8.9
01-03-1982,6.3231825,9
01-04-1982,6.3338883,9.3
01-05-1982,6.5931582,9.4
01-06-1982,6.7664097,9.6
01-07-1982,6.8861065,9.8
01-08-1982,7.0119496,9.8
01-09-1982,7.4297607,10.1
01-10-1982,8.2954543,10.4
01-11-1982,8.6798198,10.8
01-12-1982,9.4026091,10.8
01-01-1983,9.3004201,10.4
01-02-1983,9.6588013,10.4
01-03-1983,9.9513714,10.3
01-04-1983,10.1526617,10.2
01-05-1983,10.3232775,10.1
01-06-1983,10.2023837,10.1
01-07-1983,10.5005928,9.4
01-08-1983,10.2196102,9.5
01-09-1983,10.3377919,9.2
01-10-1983,10.0081759,8.8
01-11-1983,9.6543877,8.5
01-12-1983,9.4577717,8.3
01-01-1984,9.4984683,8
01-02-1984,9.3856633,7.8
01-03-1984,9.2083534,7.8
01-04-1984,9.3712419,7.7
01-05-1984,8.9365553,7.4
01-06-1984,9.0951678,7.2
01-07-1984,8.9018247,7.5
01-08-1984,8.8291136,7.5
01-09-1984,8.7346331,7.3
01-10-1984,8.6954523,7.4
01-11-1984,8.6789211,7.2
01-12-1984,8.5198229,7.3
01-01-1985,8.5504175,7.3
01-02-1985,8.3893579,7.2
01-03-1985,8.6656834,7.2
01-04-1985,8.4034303,7.3
01-05-1985,8.375568,7.2
01-06-1985,8.5707172,7.4
01-07-1985,8.2929983,7.4
01-08-1985,8.1559066,7.1
01-09-1985,8.0571415,7.1
01-10-1985,7.8484439,7.1
